livelihood_zone_corrected,months,year,year_month,month,livelihood_system,cdi,cmb,conflict_fatalities,conflict_incidents,goat_price,maize_price,ndvi,rainfall,rice_price,river_level,sorghum_price,water_price
Addun Pastoral,January,2015,2015-01,Jan,Pastoral,0.724,3202500,3.25,6,1054375,16000,0.244,1.61,17375,,14000,21875
Addun Pastoral,February,2015,2015-02,Feb,Pastoral,0.672,3474333.333,14,7.333333333,1020000,14666.66667,0.214,0.73,17187.5,,15250,23750
Addun Pastoral,March,2015,2015-03,Mar,Pastoral,0.726,3149533.333,5,5,1138000,14666.66667,0.236,13.802,17250,,13500,27250
Addun Pastoral,April,2015,2015-04,Apr,Pastoral,1.376,3149666.667,5.5,3.5,1112500,14666.66667,0.316,56.932,17125,,13500,23125
Addun Pastoral,May,2015,2015-05,May,Pastoral,1.364,2926500,13.5,3,1118125,15333.33333,0.376,37.892,17250,,12250,21250
Addun Pastoral,June,2015,2015-06,Jun,Pastoral,1.228,2900400,2.666666667,3.333333333,1128750,15200,0.3,1.804,17125,,12300,21250
Addun Pastoral,July,2015,2015-07,Jul,Pastoral,0.988,2984666.667,3,4,1096750,15000,0.228,2.588,17550,,13200,21750
Addun Pastoral,August,2015,2015-08,Aug,Pastoral,1.016,3113533.333,5.666666667,3.666666667,1107500,14400,0.216,1.008,17250,,12825,21250
Addun Pastoral,September,2015,2015-09,Sep,Pastoral,0.96,3138000,0,1,1125000,14333.33333,0.236,2.42,17250,,13750,21250
Addun Pastoral,October,2015,2015-10,Oct,Pastoral,1.03,3121750,2.5,2.75,1185625,14666.66667,0.36,90.126,17250,,14250,21250
Addun Pastoral,November,2015,2015-11,Nov,Pastoral,1.236,3124750,24,5,1191875,14666.66667,0.436,21.56,17250,,14000,21250
Addun Pastoral,December,2015,2015-12,Dec,Pastoral,1.148,3130083.333,10,4.333333333,1110000,14666.66667,0.372,2,17125,,13750,21250
Addun Pastoral,January,2016,2016-01,Jan,Pastoral,0.998,3094458.333,5.333333333,3,1073750,14666.66667,0.29,1.61,17125,,13875,23750
Addun Pastoral,February,2016,2016-02,Feb,Pastoral,0.912,3279733.333,11.25,1.5,966000,14666.66667,0.25,0.738,17450,,15800,23750
Addun Pastoral,March,2016,2016-03,Mar,Pastoral,0.898,3304000,15,5,1018750,14000,0.236,4.846,16750,,16000,23750
Addun Pastoral,April,2016,2016-04,Apr,Pastoral,0.596,3289583.333,25.75,4,1111875,13333.33333,0.272,42.272,16875,,17000,25625
Addun Pastoral,May,2016,2016-05,May,Pastoral,0.568,3241916.667,9.25,5,1165625,13333.33333,0.314,63.03,16650,,17250,23750
Addun Pastoral,June,2016,2016-06,Jun,Pastoral,0.614,3258166.667,12,4.75,1170625,13333.33333,0.272,1.868,17000,,15875,23750
Addun Pastoral,July,2016,2016-07,Jul,Pastoral,0.618,3442083.333,5.666666667,3,1122500,15000,0.22,2.212,17812.5,,16750,25000
Addun Pastoral,August,2016,2016-08,Aug,Pastoral,0.572,3423683.333,24,3,1087500,15000,0.214,0.982,18800,,17000,26875
Addun Pastoral,September,2016,2016-09,Sep,Pastoral,0.59,3379791.667,29,7,1233333.333,16666.66667,0.222,1.926,18666.66667,,13333.33333,21666.66667
Addun Pastoral,October,2016,2016-10,Oct,Pastoral,0.498,3390083.333,30.25,9.5,1239333.333,17333.33333,0.278,16.28,19733.33333,,13333.33333,21666.66667
Addun Pastoral,November,2016,2016-11,Nov,Pastoral,0.34,3781154.167,37.75,8,1226666.667,17833.33333,0.296,4.088,21666.66667,,15583.33333,21666.66667
Addun Pastoral,December,2016,2016-12,Dec,Pastoral,0.286,3743445.833,7.333333333,6.333333333,825625,18000,0.254,1.836,21250,,18187.5,28750
Addun Pastoral,January,2017,2017-01,Jan,Pastoral,0.248,3971920.833,1,4,825000,19600,0.228,1.544,18050,,18666.66667,31250
Addun Pastoral,February,2017,2017-02,Feb,Pastoral,0.3,4287229.167,15,11,833750,22000,0.22,0.724,21312.5,,19437.5,28750
Addun Pastoral,March,2017,2017-03,Mar,Pastoral,0.296,4352666.667,2.333333333,4,885625,20000,0.21,5.188,19562.5,,20875,22500
Addun Pastoral,April,2017,2017-04,Apr,Pastoral,0.29,4352750,3.5,6,930000,19333.33333,0.23,15.418,18375,,20500,22916.66667
Addun Pastoral,May,2017,2017-05,May,Pastoral,0.386,4720500,12.5,6.25,1005625,24666.66667,0.27,41.55,19750,,24250,18333.33333
Addun Pastoral,June,2017,2017-06,Jun,Pastoral,0.44,4225166.667,8,5.666666667,1018750,19333.33333,0.242,1.538,18250,,20437.5,15666.66667
Addun Pastoral,July,2017,2017-07,Jul,Pastoral,0.5,4021833.333,15.33333333,9.666666667,826875,18666.66667,0.2,2.864,18250,,19812.5,15666.66667
Addun Pastoral,August,2017,2017-08,Aug,Pastoral,0.684,4023250,20.33333333,8.333333333,1042062.5,18666.66667,0.194,0.998,19875,,18812.5,16333.33333
Addun Pastoral,September,2017,2017-09,Sep,Pastoral,0.764,4178583.333,16,9.333333333,1095000,20000,0.208,3.062,19250,,20250,16333.33333
Addun Pastoral,October,2017,2017-10,Oct,Pastoral,0.818,4278500,18,8,1067250,21333.33333,0.27,35.704,19250,,20600,16666.66667
Addun Pastoral,November,2017,2017-11,Nov,Pastoral,0.834,4281500,3.333333333,2.333333333,1243750,20000,0.314,41.734,19375,,20750,15333.33333
Addun Pastoral,December,2017,2017-12,Dec,Pastoral,0.842,3693166.667,10.5,5,1098125,17333.33333,0.276,1.538,19500,,16500,18333.33333
Addun Pastoral,January,2018,2018-01,Jan,Pastoral,0.87,3870166.667,1,2,1357500,19000,0.228,1.604,19500,,18400,18333.33333
Addun Pastoral,February,2018,2018-02,Feb,Pastoral,0.732,3550166.667,6,4.25,1360937.5,19000,0.208,0.73,18437.5,,18250,18333.33333
Addun Pastoral,March,2018,2018-03,Mar,Pastoral,0.754,3543500,2.333333333,2.666666667,1403437.5,19000,0.218,7.376,18812.5,,18500,18333.33333
Addun Pastoral,April,2018,2018-04,Apr,Pastoral,1.498,3449250,11,5,1373250,14583.33333,0.296,68.454,19350,,18000,18333.33333
Addun Pastoral,May,2018,2018-05,May,Pastoral,2.242,3575583.333,2.666666667,1.666666667,1424687.5,16000,0.342,56.698,20250,,18000,16666.66667
Addun Pastoral,June,2018,2018-06,Jun,Pastoral,2.418,3555500,3,3,1475937.5,16000,0.286,1.46,20625,,17625,16666.66667
Addun Pastoral,July,2018,2018-07,Jul,Pastoral,2.062,3562500,4,6,1510250,16000,0.232,2.226,20750,,17900,16666.66667
Addun Pastoral,August,2018,2018-08,Aug,Pastoral,1.6,3682500,2.333333333,1.666666667,1405000,16000,0.22,0.908,20250,,17500,17333.33333
Addun Pastoral,September,2018,2018-09,Sep,Pastoral,1.574,3424166.667,8,3.666666667,1716250,14666.66667,0.242,4.682,22125,,16312.5,18000
Addun Pastoral,October,2018,2018-10,Oct,Pastoral,1.28,3430833.333,2.333333333,2.333333333,1629000,14666.66667,0.296,20.51,20950,,16350,18000
Addun Pastoral,November,2018,2018-11,Nov,Pastoral,0.664,3445416.667,4.5,5.25,1783437.5,14666.66667,0.31,5.124,20875,,16375,18250
Addun Pastoral,December,2018,2018-12,Dec,Pastoral,0.618,3418750,1,2,1719375,14666.66667,0.258,3.55,21000,,16250,18250
Addun Pastoral,January,2019,2019-01,Jan,Pastoral,0.65,3447166.667,1,1.5,1475625,16000,0.224,1.766,20562.5,,17000,19000
Addun Pastoral,February,2019,2019-02,Feb,Pastoral,0.668,3448500,3,4.8,1469687.5,16000,0.218,0.696,20375,,16875,19000
Addun Pastoral,March,2019,2019-03,Mar,Pastoral,0.634,3465500,8,4.333333333,1558750,14666.66667,0.212,6.364,20250,,16875,20000
Addun Pastoral,April,2019,2019-04,Apr,Pastoral,0.37,3465500,0,1,1657500,14750,0.244,11.644,20200,,17300,20000
Addun Pastoral,May,2019,2019-05,May,Pastoral,0.992,3480500,7.25,4.25,1682500,14000,0.31,82.074,21200,,17300,20000
Addun Pastoral,June,2019,2019-06,Jun,Pastoral,1.232,3417166.667,11.75,2.75,1546875,14000,0.274,3.198,21375,,16375,20000
Addun Pastoral,July,2019,2019-07,Jul,Pastoral,1.338,3462000,5.5,2.75,2531879,14666.66667,0.22,2.238,21625,,16500,20000
Addun Pastoral,August,2019,2019-08,Aug,Pastoral,1.178,3475333.333,2,3.666666667,1642500,14666.66667,0.202,0.918,22187.5,,16750,20000
Addun Pastoral,September,2019,2019-09,Sep,Pastoral,0.93,3615333.333,3.5,4,1786250,14666.66667,0.222,1.78,22687.5,,17375,23333.33333
Addun Pastoral,October,2019,2019-10,Oct,Pastoral,1.894,3544000,1.333333333,3,1790000,14666.66667,0.326,64.194,22187.5,,17250,20000
Addun Pastoral,November,2019,2019-11,Nov,Pastoral,2.832,3530666.667,2.5,2.75,1819375,14666.66667,0.384,61.74,21875,,17500,20000
Addun Pastoral,December,2019,2019-12,Dec,Pastoral,2.838,3494333.333,17,5.5,1573300,14333.33333,0.406,7.476,21600,,16825,20000
Addun Pastoral,January,2020,2020-01,Jan,Pastoral,2.646,3521000,2,3.75,1621875,14333.33333,0.356,1.644,21750,,16625,20000
Addun Pastoral,February,2020,2020-02,Feb,Pastoral,2.478,3435333.333,8,3.333333333,1671250,14333.33333,0.27,0.878,21937.5,,16625,21666.66667
Addun Pastoral,March,2020,2020-03,Mar,Pastoral,4.096,3430000,3,3.25,1666666.667,14333.33333,0.29,21.62,21333.33333,,14166.66667,21666.66667
Addun Pastoral,April,2020,2020-04,Apr,Pastoral,3.904,3649708.333,1.5,2,2016875,14333.33333,0.368,73.03,23875,,17300,27333.33333
Addun Pastoral,May,2020,2020-05,May,Pastoral,2.116,3652333.333,13.25,8,1985625,14666.66667,0.42,42.276,23750,,16750,28166.66667
Addun Pastoral,June,2020,2020-06,Jun,Pastoral,1.882,3629866.667,4.25,3.25,1928750,14666.66667,0.324,1.46,22600,,16600,27400
Addun Pastoral,July,2020,2020-07,Jul,Pastoral,2.006,3647416.667,3,3.333333333,1956250.25,14666.66667,0.25,4.928,22125,,17125,25333.33333
Addun Pastoral,August,2020,2020-08,Aug,Pastoral,1.966,3634900,10.5,2.5,2025937.5,14266.66667,0.24,1.01,22000,,17225,25333.33333
Addun Pastoral,September,2020,2020-09,Sep,Pastoral,1.298,3603833.333,12.33333333,5.666666667,1967812.5,14000,0.26,1.91,22000,,17000,25333.33333
Addun Pastoral,October,2020,2020-10,Oct,Pastoral,1.612,3610333.333,2,5.333333333,2025000,14000,0.36,64.678,20700,,13166.66667,25333.33333
Addun Pastoral,November,2020,2020-11,Nov,Pastoral,1.566,3549375,8.666666667,8.333333333,2067500,14333.33333,0.402,5.952,22700,,17600,21000
Addun Pastoral,December,2020,2020-12,Dec,Pastoral,1.322,3605541.667,13.5,5,2161875,14750,0.33,1.808,22812.5,,12666.66667,21666.66667
Addun Pastoral,January,2021,2021-01,Jan,Pastoral,1.436,3665541.667,3.333333333,4.666666667,2087500,14666.66667,0.262,1.54,20166.66667,,12916.66667,22333.33333
Addun Pastoral,February,2021,2021-02,Feb,Pastoral,1.87,3893208.333,8.666666667,5.333333333,2116666.667,13002.66667,0.238,0.69,20666.66667,,14000,22500
Addun Pastoral,March,2021,2021-03,Mar,Pastoral,1.96,4159700,2.5,3.75,2261000,19600,0.24,5.788,25000,,19900,24133.33333
Addun Pastoral,April,2021,2021-04,Apr,Pastoral,0.914,4742833.333,4,4.666666667,2320625,21937.5,0.292,32.644,27562.5,,23562.5,26000
Addun Pastoral,May,2021,2021-05,May,Pastoral,1.088,4900216.667,3.666666667,2.666666667,2333500,21050,0.364,55.104,28125,,21533.33333,25333.33333
Addun Pastoral,June,2021,2021-06,Jun,Pastoral,1.172,4821187.5,9,3.666666667,2203437.5,16916.66667,0.302,1.718,27750,,26437.5,23750
Addun Pastoral,July,2021,2021-07,Jul,Pastoral,1.23,4726250,9,4,2237062.5,16833.33333,0.228,4.202,27375,,26833.33333,22833.33333
Addun Pastoral,August,2021,2021-08,Aug,Pastoral,1.114,4481833.333,1.75,1.75,2193800,19875,0.216,1.006,27800,,27333.33333,23066.66667
Addun Pastoral,September,2021,2021-09,Sep,Pastoral,1.05,4756833.333,1,2.333333333,2340000,20750,0.218,2.458,28500,,20666.66667,24666.66667
Addun Pastoral,October,2021,2021-10,Oct,Pastoral,0.754,4766500,7,5.666666667,2348750,17750,0.272,15.024,28500,,20666.66667,24666.66667
Addun Pastoral,November,2021,2021-11,Nov,Pastoral,0.404,4830833.333,2.333333333,3.333333333,2443150,17400,0.282,5.224,27950,,27200,25466.66667
Addun Pastoral,December,2021,2021-12,Dec,Pastoral,0.358,5030500,0,5,2138125,17666.66667,0.26,1.772,29250,,21583.33333,26500
Addun Pastoral,January,2022,2022-01,Jan,Pastoral,0.336,5023533.333,16.33333333,4.333333333,2067000,18666.66667,0.242,1.726,29550,,22000,26666.66667
Addun Pastoral,February,2022,2022-02,Feb,Pastoral,0.354,5218270.833,2.666666667,4,2093875,19750,0.214,0.792,30125,,23166.66667,29250
Addun Pastoral,March,2022,2022-03,Mar,Pastoral,0.404,5488038.333,105.5,4.5,2091875,20583.33333,0.23,9.404,31375,,25222.33333,29000
Addun Pastoral,April,2022,2022-04,Apr,Pastoral,0.466,5604145.833,1.333333333,3,2065625,20666.66667,0.264,17.872,32875,,25416.66667,31666.66667
Addun Pastoral,May,2022,2022-05,May,Pastoral,0.664,5613766.667,4,2.666666667,2091750,24000,0.262,38.586,32050,,24333.33333,30066.66667
Addun Pastoral,June,2022,2022-06,Jun,Pastoral,0.692,5655104.167,0.666666667,1.666666667,2129375,20444.33333,0.226,1.804,32312.5,,24666.66667,29333.33333
Addun Pastoral,July,2022,2022-07,Jul,Pastoral,0.814,5520963.333,1.5,1.75,2200520.75,20444.33333,0.2,2.524,33375,,24000,29000
Addun Pastoral,August,2022,2022-08,Aug,Pastoral,0.816,5874500,2,2,2177750,22666.66667,0.196,1.004,34400,,26666.66667,29000
Addun Pastoral,September,2022,2022-09,Sep,Pastoral,0.86,5824041.667,19.5,6.5,2207000,22000,0.218,7.6,34125,,26333.33333,29000
Addun Pastoral,October,2022,2022-10,Oct,Pastoral,0.978,5918966.667,2,3.8,2219400,21600,0.296,46.268,34300,,25333.33333,29000
Addun Pastoral,November,2022,2022-11,Nov,Pastoral,0.932,5860708.333,41.25,5,2291625,21166.66667,0.34,8.38,32812.5,,25333.33333,31666.66667
Addun Pastoral,December,2022,2022-12,Dec,Pastoral,1.056,5696625,2,4.666666667,2134750,20666.66667,0.292,0.902,31725,,24666.66667,31666.66667
Addun Pastoral,January,2023,2023-01,Jan,Pastoral,1.142,5492416.667,1.25,2.75,2083900,20666.66667,0.254,1.726,31150,,24666.66667,31000
Addun Pastoral,February,2023,2023-02,Feb,Pastoral,1.178,5668458.333,1.5,2,2146000,20666.66667,0.22,0.732,31625,,24666.66667,31000
Addun Pastoral,March,2023,2023-03,Mar,Pastoral,1.116,5653833.333,0.5,2.75,2223250,20666.66667,0.244,12.716,31625,,24666.66667,31000
Addun Pastoral,April,2023,2023-04,Apr,Pastoral,1.22,5649000,2,2.333333333,2267000,27500,0.29,36.038,31875,,30666.75,30333.33333
Addun Pastoral,May,2023,2023-05,May,Pastoral,1.284,5605033.333,0,1.666666667,2254250,20666.66667,0.324,49.54,31700,,29833.25,31000
Addun Pastoral,June,2023,2023-06,Jun,Pastoral,1.382,5516833.333,4.25,3.25,2356250,20666.66667,0.29,1.804,30750,,30250,30000
Addun Pastoral,July,2023,2023-07,Jul,Pastoral,1.37,5555866.667,2.666666667,2,2323935,20666.66667,0.22,1.638,31512.5,,24666.66667,30000
Addun Pastoral,August,2023,2023-08,Aug,Pastoral,1.3,5476000,29.75,9.25,2330750,18000,0.21,0.998,32625,,24666.66667,30000
Addun Pastoral,September,2023,2023-09,Sep,Pastoral,1.26,5662666.667,16.75,6,2408750,21333.33333,0.236,2.99,32562.5,,25333.33333,30000
Addun Pastoral,October,2023,2023-10,Oct,Pastoral,1.45,7105833.333,38.5,4,2423500,26000,0.336,107.508,33900,,40500,30000
Addun Pastoral,November,2023,2023-11,Nov,Pastoral,1.752,6616958.333,2.75,3,2470500,28916.66667,0.428,36.876,34750,,38937.5,30000
Addun Pastoral,December,2023,2023-12,Dec,Pastoral,2.166,6474416.667,3,2.666666667,2413125,28166.66667,0.414,2.926,34875,,38125,30000
Addun Pastoral,January,2024,2024-01,Jan,Pastoral,2.318,6127733.333,12.5,2.75,2366500,27333.33333,0.328,1.622,34950,,35500,30000
Addun Pastoral,February,2024,2024-02,Feb,Pastoral,2.336,6317666.667,6.5,2,2379375,27333.33333,0.276,0.878,34625,,36500,31666.66667
Addun Pastoral,March,2024,2024-03,Mar,Pastoral,2.126,6355500,4,1.25,2385000,27333.33333,0.254,6.18,34100,,36500,73750
Addun Pastoral,April,2024,2024-04,Apr,Pastoral,2,6364500,2.5,3,2441250,27333.33333,0.308,60.454,33600,,36500,72500
Addun Pastoral,May,2024,2024-05,May,Pastoral,1.436,5662833.333,0.666666667,1.666666667,2452500,27333.33333,0.386,63.1,34187.5,,30750,30000
Addun Pastoral,June,2024,2024-06,Jun,Pastoral,1.502,6387833.333,13.4,2.4,2438750,30500,0.344,1.724,33450,,40000,67500
Addun Pastoral,July,2024,2024-07,Jul,Pastoral,2.212,6445166.667,1.5,2,2406700,27333.33333,0.254,2.758,33880,,37300,67500
Addun Pastoral,August,2024,2024-08,Aug,Pastoral,2.212,6451500,3.5,2.5,2327500,27333.33333,0.228,2.758,34750,,37500,30000
Addun Pastoral,September,2024,2024-09,Sep,Pastoral,1.774,6554733.333,1.8,1.6,2406000,27333.33333,0.238,2.492,33800,,38200,78750
Addun Pastoral,October,2024,2024-10,Oct,Pastoral,1.196,6546166.667,0.5,1.5,2377375,27333.33333,0.284,25.928,34000,,38000,78750
Addun Pastoral,November,2024,2024-11,Nov,Pastoral,0.86,6664500,5.5,3,2406675,27333.33333,0.314,6.276,34500,,42000,33333.33333
Addun Pastoral,December,2024,2024-12,Dec,Pastoral,0.89,6664500,19.5,8.25,2304500,31500,0.27,1.774,32960,,37100,78750
Addun Pastoral,January,2025,2025-01,Jan,Pastoral,0.866,6467000,12.75,4.5,2322733.25,31500,0.224,1.594,34583.25,,38500,78750
Addun Pastoral,February,2025,2025-02,Feb,Pastoral,0.632,6740333.333,8,3.5,2323375,27333.33333,0.208,0.69,33206.6,,38625,78917.5
Addun Pastoral,March,2025,2025-03,Mar,Pastoral,0.754,6613666.667,17.2,4.8,2330675,27333.33333,0.226,7.956,33950,,37906.25,31666.66667
Addun Pastoral,April,2025,2025-04,Apr,Pastoral,1.142,6685333.333,5.333333333,3,2236166.75,26000,0.28,35.006,33791.75,,35333.33333,35000
Addun Pastoral,May,2025,2025-05,May,Pastoral,1.51,6600166.667,3,2.333333333,2362502,27333.33333,0.318,50.326,33468.75,,38000,30000
Addun Pastoral,June,2025,2025-06,Jun,Pastoral,1.358,6583666.667,6.25,7,2346500,28000,0.266,1.802,34050,,38200,30000
Addun Pastoral,July,2025,2025-07,Jul,Pastoral,1.346,6564075.417,25.5,5.75,2324250,26666.66667,0.208,2.478,33750,,38012.5,30000
Addun Pastoral,August,2025,2025-08,Aug,Pastoral,1.444,6547833.333,3,5.6,2317500,26666.66667,0.196,1.014,33500,,38500,30000
Addun Pastoral,September,2025,2025-09,Sep,Pastoral,1.476,6516166.667,10.25,8.25,2313500,26666.66667,0.2,2.224,33500,,38125,30000
Addun Pastoral,October,2025,2025-10,Oct,Pastoral,1.074,6524083.333,3.4,5,2232000,26666.66667,0.24,29.818,33500,,37625,30000
Addun Pastoral,November,2025,2025-11,Nov,Pastoral,0.996,6771166.667,3.2,2.8,2288750,26666.66667,0.276,4.322,29125,,39075,30000
Addun Pastoral,December,2025,2025-12,Dec,Pastoral,0.922,6790500,3,7.5,2271500,31250,0.244,1.862,34140,,39210,81500
Addun Pastoral,January,2026,2026-01,Jan,Pastoral,0.906,6586766.667,7.75,8,2273750,31562.5,0.21,1.594,34125,,38562.5,82500
Addun Pastoral,February,2026,2026-02,Feb,Pastoral,0.874,6586833.333,5.25,7.75,2273125,26666.66667,0.196,0.732,34500,,38500,30000
Addun Pastoral,March,2026,2026-03,Mar,Pastoral,1.128,6674233.333,7.666666667,5.666666667,2231800,30950,0.21,11.286,34700,,38450,30000
Addun Pastoral,April,2026,2026-04,Apr,Pastoral,1.134,7133243.053,1.8,4.4,2205208.5,36000,0.238,22.788,33837.5,,39062.5,30000
Addun Pastoral,May,2026,2026-05,May,Pastoral,1.156,6956375,1,2.2,2253750,38562.5,0.254,51.998,34400,,40625,30000
Bay Agropastoral,January,2015,2015-01,Jan,Agropastoral,0.9325,1887500,7,4.75,1090625,7206.25,0.4575,1.11,16125,,4212.5,26250
Bay Agropastoral,February,2015,2015-02,Feb,Agropastoral,0.6125,1829125,3,3.25,962500,6937.5,0.34,1.2925,15500,,3762.5,27500
Bay Agropastoral,March,2015,2015-03,Mar,Agropastoral,0.6125,1998383.333,11.33333333,6.333333333,1117000,7215,0.4225,24.44,14750,,4400,35750
Bay Agropastoral,April,2015,2015-04,Apr,Agropastoral,1.2475,1969520.833,6,4.5,1160625,7712.5,0.6525,188.1625,15937.5,,4625,25312.5
Bay Agropastoral,May,2015,2015-05,May,Agropastoral,1.3625,1919666.667,6.25,4.5,1140625,7995.75,0.725,50.8075,15875,,4675,22500
Bay Agropastoral,June,2015,2015-06,Jun,Agropastoral,1.3475,1899983.333,23.66666667,5,1074750,7440,0.6275,15.49,15100,,4750,22500
Bay Agropastoral,July,2015,2015-07,Jul,Agropastoral,1.205,1850083.333,21.5,10.75,1024375,6750,0.475,24.59,14625,,4487.5,22500
Bay Agropastoral,August,2015,2015-08,Aug,Agropastoral,1.015,1851333.333,25.75,8.25,1030000,6306.25,0.4625,12.5075,15000,,4368.75,22500
Bay Agropastoral,September,2015,2015-09,Sep,Agropastoral,0.8725,1918666.667,14.75,9,1320625,5906.25,0.51,6.8725,15375,,4500,28750
Bay Agropastoral,October,2015,2015-10,Oct,Agropastoral,1.005,1974479.167,17.33333333,6,1165625,6312.5,0.68,145.5925,16750,,4812.5,26562.5
Bay Agropastoral,November,2015,2015-11,Nov,Agropastoral,1.255,1888291.667,3.333333333,3,1018125,6100,0.775,82.33,16500,,4762.5,21250
Bay Agropastoral,December,2015,2015-12,Dec,Agropastoral,1.245,1903166.667,20,8,961875,5890.75,0.715,4.5375,16562.5,,4550,24375
Bay Agropastoral,January,2016,2016-01,Jan,Agropastoral,1.1725,1811083.333,16.66666667,5,957500,5893.75,0.5325,1.175,16687.5,,4225,25000
Bay Agropastoral,February,2016,2016-02,Feb,Agropastoral,1.31,1682266.667,21.66666667,6,883000,5060,0.3925,3.035,16800,,3295,25000
Bay Agropastoral,March,2016,2016-03,Mar,Agropastoral,1.51,1711936.667,3.75,3.5,939000,5070,0.415,6.2425,16200,,3134.5,31000
Bay Agropastoral,April,2016,2016-04,Apr,Agropastoral,1.065,1782025,8.5,4.25,954375,5512.5,0.5375,107.8175,15875,,3283.75,31250
Bay Agropastoral,May,2016,2016-05,May,Agropastoral,0.745,1710166.667,6,2.75,1027000,5665,0.68,63.265,15400,,3455,23000
Bay Agropastoral,June,2016,2016-06,Jun,Agropastoral,0.7575,1915333.333,14,3.75,994375,7218.75,0.5925,23.6175,15500,,5075,22500
Bay Agropastoral,July,2016,2016-07,Jul,Agropastoral,0.7,1962500,6.75,3.75,1002812.5,7487.5,0.45,13.44,16812.5,,5206.25,23750
Bay Agropastoral,August,2016,2016-08,Aug,Agropastoral,0.62,2022616.667,8.75,3.75,1025500,7050,0.43,10.7675,19200,,5100,25750
Bay Agropastoral,September,2016,2016-09,Sep,Agropastoral,0.57,2081083.333,8.666666667,3,975000,6933.333333,0.4,6.905,20833.33333,,5616.666667,26666.66667
Bay Agropastoral,October,2016,2016-10,Oct,Agropastoral,0.305,2092500,14.75,4.5,1042500,7050,0.47,26.7725,20250,,5475,26666.66667
Bay Agropastoral,November,2016,2016-11,Nov,Agropastoral,0.315,2153479.167,3,5.5,942500,8121,0.595,44.5075,17583.33333,,7075,24166.66667
Bay Agropastoral,December,2016,2016-12,Dec,Agropastoral,0.2875,2333187.5,25,8.5,798125,8237.5,0.575,9.065,16250,,8200,36562.5
Bay Agropastoral,January,2017,2017-01,Jan,Agropastoral,0.3025,2284100,35.33333333,9.333333333,660000,8632.5,0.415,0.9925,16150,,7840,35750
Bay Agropastoral,February,2017,2017-02,Feb,Agropastoral,0.3325,2288158.333,7.75,3.75,718750,8484.5,0.345,1.2075,15875,,7518.75,38125
Bay Agropastoral,March,2017,2017-03,Mar,Agropastoral,0.3425,2323500,8.5,4,689062.5,8893.75,0.3575,6.18,15312.5,,7331.25,38333.33333
Bay Agropastoral,April,2017,2017-04,Apr,Agropastoral,0.4975,2456308.333,20.66666667,7.333333333,787500,10012.5,0.5175,99.0175,15750,,7762.5,36666.66667
Bay Agropastoral,May,2017,2017-05,May,Agropastoral,0.485,2326046.667,11.5,5,1030750,10405,0.6525,84.6025,16500,,7701.25,28000
Bay Agropastoral,June,2017,2017-06,Jun,Agropastoral,0.5275,2306208.333,8,3.25,1033125,10325,0.58,11.035,16625,,7981.25,26666.66667
Bay Agropastoral,July,2017,2017-07,Jul,Agropastoral,0.5575,2234416.667,4.25,4.25,1009250,9350,0.435,17.18,16700,,7275,28666.66667
Bay Agropastoral,August,2017,2017-08,Aug,Agropastoral,0.665,2112416.667,6,4.75,1040000,7956.25,0.3775,11.9525,17250,,5718.75,30416.66667
Bay Agropastoral,September,2017,2017-09,Sep,Agropastoral,0.76,2257250,6,6,961250,8075,0.39,9.545,16562.5,,6112.5,31666.66667
Bay Agropastoral,October,2017,2017-10,Oct,Agropastoral,0.5725,2340958.333,0.666666667,4.333333333,1020625,8287.5,0.5025,43.2825,16500,,6256.25,31666.66667
Bay Agropastoral,November,2017,2017-11,Nov,Agropastoral,0.685,2167791.667,40.33333333,3.666666667,1060625,7550,0.675,98.6825,17000,,5962.5,26666.66667
Bay Agropastoral,December,2017,2017-12,Dec,Agropastoral,0.7175,2046312.5,9,2.75,986250,7512.5,0.595,2.5475,17125,,5843.75,29166.66667
Bay Agropastoral,January,2018,2018-01,Jan,Agropastoral,0.7275,2047483.333,12,6.5,1033000,7235,0.4125,1.1125,17000,,5425,31333.33333
Bay Agropastoral,February,2018,2018-02,Feb,Agropastoral,0.62,2075062.5,2.333333333,3.666666667,956250,7187.5,0.3475,1.425,16375,,4762.5,34166.66667
Bay Agropastoral,March,2018,2018-03,Mar,Agropastoral,0.75,2064750,6.75,3,1015625,6662.5,0.405,43.86,16375,,4250,33750
Bay Agropastoral,April,2018,2018-04,Apr,Agropastoral,1.5325,2009000,3.666666667,2.666666667,1190625,7175,0.6475,189.565,16437.5,,3906.25,29166.66667
Bay Agropastoral,May,2018,2018-05,May,Agropastoral,2.0025,2026375,5.5,3.25,1151875,6868.75,0.715,151.765,16375,,4012.5,26666.66667
Bay Agropastoral,June,2018,2018-06,Jun,Agropastoral,1.905,1942625,7.25,4.75,1138125,6456.25,0.64,13.5875,17375,,3750,26666.66667
Bay Agropastoral,July,2018,2018-07,Jul,Agropastoral,1.895,1842233.333,3.333333333,3,1216500,5500,0.5225,24.3,17000,,3525,26666.66667
Bay Agropastoral,August,2018,2018-08,Aug,Agropastoral,1.855,1804291.667,24,5.5,1185000,5112.5,0.435,18.7025,16687.5,,3375,25833.33333
Bay Agropastoral,September,2018,2018-09,Sep,Agropastoral,1.7975,1866895.833,28,5,1074375,5054.75,0.44,7.615,16062.5,,3600,27916.66667
